sample	tool	mode	stage	started_at	finished_at	wall_seconds	user_seconds	sys_seconds	max_rss_gb	io_input_mb	io_output_mb	command	exit_code
cami_sample_0	hymet_contigs	contigs	run	2025-10-28T22:45:49Z	2025-10-28T22:54:32Z	522.990	407.970	55.940	17.380	0.000	14.563	/mnt/HC_Volume_103721442/HYMET/bench/run_hymet.sh --sample cami_sample_0 --contigs /mnt/HC_Volume_103721442/cami/sample_0.fna --threads 8 --out /mnt/HC_Volume_103721442/HYMET/bench/out/cami_sample_0/hymet	0
cami_sample_0	hymet_contigs	contigs	eval	2025-10-28T22:54:32Z	2025-10-28T22:54:54Z	21.530	24.210	2.540	1.127	0.000	0.000	/mnt/HC_Volume_103721442/HYMET/bench/lib/run_eval.sh --sample cami_sample_0 --tool hymet --pred-profile /mnt/HC_Volume_103721442/HYMET/bench/out/cami_sample_0/hymet/profile.cami.tsv --truth-profile /mnt/HC_Volume_103721442/cami/sample_0/taxonomic_profile_0.txt --pred-contigs /mnt/HC_Volume_103721442/HYMET/bench/out/cami_sample_0/hymet/classified_sequences.tsv --truth-contigs /mnt/HC_Volume_103721442/cami/sample_0/2017.12.29_11.37.26_sample_0/contigs/gsa_mapping_new.tsv --pred-fasta /mnt/HC_Volume_103721442/cami/sample_0.fna --paf /mnt/HC_Volume_103721442/HYMET/bench/out/cami_sample_0/hymet/resultados.paf --threads 8	0
cami_i_lc	hymet_contigs	contigs	run	2025-10-28T22:54:54Z	2025-10-28T23:00:58Z	364.260	319.260	57.480	17.366	0.004	15.943	/mnt/HC_Volume_103721442/HYMET/bench/run_hymet.sh --sample cami_i_lc --contigs /mnt/HC_Volume_103721442/HYMET/bench/data/cami_i_lc/contigs.fna --threads 8 --out /mnt/HC_Volume_103721442/HYMET/bench/out/cami_i_lc/hymet	0
cami_i_lc	hymet_contigs	contigs	eval	2025-10-28T23:00:58Z	2025-10-28T23:01:17Z	18.390	21.720	2.450	1.149	0.003	0.000	/mnt/HC_Volume_103721442/HYMET/bench/lib/run_eval.sh --sample cami_i_lc --tool hymet --pred-profile /mnt/HC_Volume_103721442/HYMET/bench/out/cami_i_lc/hymet/profile.cami.tsv --truth-profile /mnt/HC_Volume_103721442/HYMET/bench/data/cami_i_lc/truth_profile.tsv --pred-contigs /mnt/HC_Volume_103721442/HYMET/bench/out/cami_i_lc/hymet/classified_sequences.tsv --truth-contigs /mnt/HC_Volume_103721442/HYMET/bench/data/cami_i_lc/truth_contigs.tsv --pred-fasta /mnt/HC_Volume_103721442/HYMET/bench/data/cami_i_lc/contigs.fna --paf /mnt/HC_Volume_103721442/HYMET/bench/out/cami_i_lc/hymet/resultados.paf --threads 8	0
cami_i_mc	hymet_contigs	contigs	run	2025-10-28T23:01:17Z	2025-10-28T23:06:50Z	333.070	296.370	53.700	17.367	0.069	12.593	/mnt/HC_Volume_103721442/HYMET/bench/run_hymet.sh --sample cami_i_mc --contigs /mnt/HC_Volume_103721442/HYMET/bench/data/cami_i_mc/contigs.fna --threads 8 --out /mnt/HC_Volume_103721442/HYMET/bench/out/cami_i_mc/hymet	0
cami_i_mc	hymet_contigs	contigs	eval	2025-10-28T23:06:50Z	2025-10-28T23:07:08Z	17.910	20.560	2.400	1.102	0.004	0.000	/mnt/HC_Volume_103721442/HYMET/bench/lib/run_eval.sh --sample cami_i_mc --tool hymet --pred-profile /mnt/HC_Volume_103721442/HYMET/bench/out/cami_i_mc/hymet/profile.cami.tsv --truth-profile /mnt/HC_Volume_103721442/HYMET/bench/data/cami_i_mc/truth_profile.tsv --pred-contigs /mnt/HC_Volume_103721442/HYMET/bench/out/cami_i_mc/hymet/classified_sequences.tsv --truth-contigs /mnt/HC_Volume_103721442/HYMET/bench/data/cami_i_mc/truth_contigs.tsv --pred-fasta /mnt/HC_Volume_103721442/HYMET/bench/data/cami_i_mc/contigs.fna --paf /mnt/HC_Volume_103721442/HYMET/bench/out/cami_i_mc/hymet/resultados.paf --threads 8	0
cami_i_hc	hymet_contigs	contigs	run	2025-10-28T23:07:08Z	2025-10-28T23:12:45Z	337.390	298.030	54.600	17.375	0.058	13.653	/mnt/HC_Volume_103721442/HYMET/bench/run_hymet.sh --sample cami_i_hc --contigs /mnt/HC_Volume_103721442/HYMET/bench/data/cami_i_hc/contigs.fna --threads 8 --out /mnt/HC_Volume_103721442/HYMET/bench/out/cami_i_hc/hymet	0
cami_i_hc	hymet_contigs	contigs	eval	2025-10-28T23:12:45Z	2025-10-28T23:13:04Z	18.890	21.650	2.450	1.119	0.006	0.000	/mnt/HC_Volume_103721442/HYMET/bench/lib/run_eval.sh --sample cami_i_hc --tool hymet --pred-profile /mnt/HC_Volume_103721442/HYMET/bench/out/cami_i_hc/hymet/profile.cami.tsv --truth-profile /mnt/HC_Volume_103721442/HYMET/bench/data/cami_i_hc/truth_profile.tsv --pred-contigs /mnt/HC_Volume_103721442/HYMET/bench/out/cami_i_hc/hymet/classified_sequences.tsv --truth-contigs /mnt/HC_Volume_103721442/HYMET/bench/data/cami_i_hc/truth_contigs.tsv --pred-fasta /mnt/HC_Volume_103721442/HYMET/bench/data/cami_i_hc/contigs.fna --paf /mnt/HC_Volume_103721442/HYMET/bench/out/cami_i_hc/hymet/resultados.paf --threads 8	0
cami_ii_mousegut	hymet_contigs	contigs	run	2025-10-28T23:13:04Z	2025-10-28T23:18:02Z	297.580	230.330	35.500	17.365	0.040	3.721	/mnt/HC_Volume_103721442/HYMET/bench/run_hymet.sh --sample cami_ii_mousegut --contigs /mnt/HC_Volume_103721442/HYMET/bench/data/cami_ii_mousegut/contigs.fna --threads 8 --out /mnt/HC_Volume_103721442/HYMET/bench/out/cami_ii_mousegut/hymet	0
cami_ii_mousegut	hymet_contigs	contigs	eval	2025-10-28T23:18:02Z	2025-10-28T23:18:20Z	18.080	21.870	2.400	1.078	0.006	0.000	/mnt/HC_Volume_103721442/HYMET/bench/lib/run_eval.sh --sample cami_ii_mousegut --tool hymet --pred-profile /mnt/HC_Volume_103721442/HYMET/bench/out/cami_ii_mousegut/hymet/profile.cami.tsv --truth-profile /mnt/HC_Volume_103721442/HYMET/bench/data/cami_ii_mousegut/truth_profile.tsv --pred-contigs /mnt/HC_Volume_103721442/HYMET/bench/out/cami_ii_mousegut/hymet/classified_sequences.tsv --truth-contigs /mnt/HC_Volume_103721442/HYMET/bench/data/cami_ii_mousegut/truth_contigs.tsv --pred-fasta /mnt/HC_Volume_103721442/HYMET/bench/data/cami_ii_mousegut/contigs.fna --paf /mnt/HC_Volume_103721442/HYMET/bench/out/cami_ii_mousegut/hymet/resultados.paf --threads 8	0
